Email,Nome,Número de telefone,*Lançamento,*Segmentação
lead01@exemplo.com,Ana Silva,5541999990001,CDA - WEBN - S83,Webn - Viu Pitch
lead02@exemplo.com,Bruno Costa,5541999990002,CDA - WEBN - S83,Webn - Viu Pitch
lead03@exemplo.com,Carla Souza,5541999990003,CDA - WEBN - S83,Webn - Viu Pitch
lead04@exemplo.com,Diego Lima,5541999990004,CDA - WEBN - S83,Webn - Viu Pitch
lead05@exemplo.com,Elaine Rocha,,CDA - WEBN - S83,Webn - Viu Pitch
lead06@exemplo.com,Fabio Alves,5541999990006,CDA - WEBN - S83,Webn - Viu Pitch
lead07@exemplo.com,Gabriela Dias,5541999990007,CDA - WEBN - S83,Webn - Viu Pitch
lead08@exemplo.com,Hugo Martins,5541999990008,CDA - WEBN - S83,Webn - Viu Pitch
lead09@exemplo.com,Isabela Ramos,5541999990009,CDA - WEBN - S83,Webn - Viu Pitch
lead10@exemplo.com,João Pereira,5541999990010,CDA - WEBN - S83,Webn - Viu Pitch
lead11@exemplo.com,Karina Nunes,5541999990011,CDA - WEBN - S83,Webn - Viu Pitch
lead12@exemplo.com,Lucas Farias,5541999990012,CDA - WEBN - S83,Webn - Viu Pitch
lead13@exemplo.com,Mariana Teixeira,,CDA - WEBN - S83,Webn - Viu Pitch
lead14@exemplo.com,Nicolas Barros,5541999990014,CDA - WEBN - S83,Webn - Viu Pitch
lead15@exemplo.com,Olivia Freitas,5541999990015,CDA - WEBN - S83,Webn - Viu Pitch
lead16@exemplo.com,Pedro Cardoso,5541999990016,CDA - WEBN - S83,Webn - Viu Pitch
lead17@exemplo.com,Queila Moreira,5541999990017,CDA - WEBN - S83,Webn - Viu Pitch
lead18@exemplo.com,Rafael Pinto,5541999990018,CDA - WEBN - S83,Webn - Viu Pitch
lead19@exemplo.com,Sofia Correia,5541999990019,CDA - WEBN - S83,Webn - Viu Pitch
lead20@exemplo.com,Thiago Mendes,5541999990020,CDA - WEBN - S83,Webn - Viu Pitch
